from,to,contract_address,value,evt_block_time,evt_tx_hash,Token Price (USD),Symbol,decimal,Token Liquidity (Top 20 LPs),Type,From Entity,From Context,To Entity,To Context
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,252467903326,2023-05-01 00:01:47.000 UTC,0x1c705d0f7ace107e63e8b06fe1d07e1de90de7daecdf0c6e844bba9c42a74ec7,0.999914,USDC,6.0,1140350724.3129728,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,134590224423255483772,2023-05-01 00:01:47.000 UTC,0x1c705d0f7ace107e63e8b06fe1d07e1de90de7daecdf0c6e844bba9c42a74ec7,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,23883490615251325041459,2023-05-01 00:04:47.000 UTC,0x322b696170c388aa1c30aef136857eb9e478932fa733a7898162ddc05d282ea1,1.0,DAI,18.0,698573224.0174431,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x60594a405d53811d3bc4766596efd80fd545a270,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12701442605530679307,2023-05-01 00:04:47.000 UTC,0x322b696170c388aa1c30aef136857eb9e478932fa733a7898162ddc05d282ea1,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,163478180000000000000,2023-05-01 00:07:35.000 UTC,0xe66337270de552299d9ad727d6d45be4af90afd03ff9c37783bb9dc43a70ec03,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,727070000000000000000,2023-05-01 00:07:35.000 UTC,0xf964ea55fc94ccdf55ad284cb606356f67357e58bbd2224d0acbd49c8672f7df,1846.75,WETH,18.0,476286796.9523346,Tracked Wallet Buy & Sell,Jump,None,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,128368500000000000000,2023-05-01 00:07:47.000 UTC,0x30ef8d430893eb54c5d691a94dc8bd90f70f187765bc4339611b06df29e64eb7,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,188680000000000000000,2023-05-01 00:08:11.000 UTC,0x479c265a13a1e506edf69eba2e3701b2912623764c57f8ede6b2dc6a4e02bce3,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,43078690950212570508,2023-05-01 00:08:35.000 UTC,0x54a992ea79d32c95a90ce00962ede52f6ae64259fc3baaf01113ea57c5040545,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,80992846659,2023-05-01 00:08:35.000 UTC,0x54a992ea79d32c95a90ce00962ede52f6ae64259fc3baaf01113ea57c5040545,0.999914,USDC,6.0,1140350724.3129728,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
