id,category,name,address,symbol,tvl,mcap,slug,7dma_%,1mma_%,Volume_7d_%,Volume_1m_%
2168,Lending,Morpho Aave,0x9994e35db50125e0df82e4c2dde62496ce330999,MORPHO,310790431.1700392,,morpho-aave,0.0009662076182657131,0.008389615678181084,,
2435,CEX,Nexo,,-,304053809.692507,388671190.4372864,nexo,0.006355841554396058,-0.0013540474482071074,,
1799,Dexes,Velodrome,optimism:0x3c8B650257cFb5f272f799F5e2b4e65093a11a05,VELO,292462197.71121293,29073353.76996644,velodrome,0.0023764491100941587,0.0024858148287709714,-13.28,-56.25
1793,Indexes,Bwatch,0x045414e728067ab3da4bceafc0d992d59183463a,BOX,279520353.36,0.0,bwatch,0.003349631058749525,-0.000228992928263394,,
148,Privacy,Tornado Cash,0x77777feddddffc19ff86db637967013e6c6a116c,TORN,276187113.0861989,11490651.260853354,tornado-cash,0.0006272848562103306,0.0019239759109963561,,
1541,Bridge,Portal,,-,267766647.16,,portal,-0.002680939605017696,-0.0015640377413873585,,
122,Insurance,Nexus Mutual,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,NXM,265263145.71795183,344337001.4790723,nexus-mutual,-0.00026100751547963874,0.0003953515994814527,,
347,CDP,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,263520709.93007752,78021051.79210982,abracadabra,0.007958060385907961,0.0032953298321054536,,
132,Bridge,hBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,hBTC,252159469.29431188,252818869.73798993,hbtc,0.003904452263245206,-0.0004283891528634731,,
2769,Dexes,PancakeSwap AMM V3,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,233230838.6621473,,pancakeswap-amm-v3,0.005304909289512771,0.03989416182290895,51.88,
1765,Launchpad,UniCrypt,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,UNCX,232767312.41567135,11382513.96992738,unicrypt,0.0023865669261555755,0.0007842374460302892,,
2706,Lending,Radiant V2,arbitrum:0x3082CC23568eA640225c2467653dB90e9250AaA0,RDNT,229313331.86856124,,radiant-v2,0.0056123086776105335,0.009750544559696595,,
340,Reserve Currency,Olympus DAO,0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,OHM,221498436.3244833,289919919.9673487,olympus-dao,-0.0041782133171416325,-0.0018224795841357277,,
657,Bridge,Synapse,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,215510995.93705928,148213168.54906067,synapse,-0.006042453743171583,0.004147768574938038,,
502,Yield,Coinwind,heco:0x80861a817106665bca173db6ac2ab628a738c737,COW,214041272.53750452,0.0,coinwind,0.000412583065466432,6.759989358751106e-05,,
1807,Launchpad,PinkSale,bsc:0x602ba546a7b06e0fc7f58fd27eb6996ecc824689,PINKSALE,199795426.4610533,19279586.85338464,pinksale,0.002226807127206021,0.0029261680108119137,,
641,Liquidity manager,Arrakis V1,,-,187608345.66334692,,arrakis-v1,-0.0030319159319042166,-0.001969298784704754,,
831,Dexes,VVS Finance,cronos:0x2D03bECE6747ADC00E1a131BBA1469C15fD11e03,VVS,187152012.7916179,121816268.99658668,vvs-finance,0.0037908717420245264,-0.00030446196560629524,46.47,32.04
278,Liquid Staking,Ankr,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ANKR,180464497.9572709,245847701.21687075,ankr,0.0034569986770440764,-0.0014004024739550092,,
1166,Dexes,DefiChain DEX,-,DFI,178342755.09366855,319924941.82186645,defichain-dex,0.0024276147147672678,-0.008262889667541518,-60.83,-52.36
295,Chain,Stacks Staking,-,STX,177455849.55652207,943206123.752897,stacks-staking,-0.047639015656614214,-0.026156792949400987,,
704,Dexes,Chainge Finance,fusion:0xed0294dbd2a0e52a09c3f38a09f6e03de2c44fcf,CHNG,170939754.37515303,49150859.29113048,chainge-finance,6.120586852720322e-05,-0.0002903613176185038,-78.33,-81.68
277,Liquid Staking,StakeWise,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,SWISE,168419302.73784462,33784525.912574016,stakewise,0.0009184721294515086,0.0008260411084555219,,
1054,Bridge,ChainPort,0x104f3152d8ebfc3f679392977356962ff36566ac,PORTX,166916873.0,2273246.7690641806,chainport,-0.005273656949293937,-0.0006429130961460583,,
1217,Liquid Staking,Parallel Liquid Crowdloan,,-,166327013.8696782,,parallel-liquid-crowdloan,-0.004302703527662599,-0.002890804692041171,,
383,Dexes,Osmosis DEX,-,OSMO,162624996.161915,422253923.019343,osmosis-dex,-0.0006630318154201564,-0.0007903997412117558,11.37,4.56
1773,NFT Lending,BendDAO Lending,0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,157159147.2205763,,benddao-lending,-0.0022727314593971037,-0.004742205053452575,,
129,Chain,xDAI Stake Bridge,0x0Ae055097C6d159879521C384F1D2123D1f195e6,STAKE,156087949.15500686,1079896.9304832797,xdai-stake-bridge,-0.0073160247147949775,-0.001548871263156948,,
231,Payments,Lightning Network,-,-,153492800.3292915,,lightning-network,0.0053572451716925595,3.5017589937513804e-05,,
345,Leveraged Farming,Alpaca Leveraged Yield Farming,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,148585898.120495,38558214.854145646,alpaca-leveraged-yield-farming,0.029343570439740896,-0.012192362033473292,,
1981,Bridge,Orbit Bridge,eth:0x662b67d00A13FAf93254714DD601F5Ed49Ef2F51,ORC,148527675.48655972,0.0,orbit-bridge,-0.0007747020904600443,-0.007473497034892529,,
2517,NFT Lending,ParaSpace Lending,,-,148188097.857608,,paraspace-lending,0.00525430429710827,0.005258008325130348,,
373,Dexes,BiSwap,bsc:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,142675833.29705408,62524140.62268628,biswap,-0.00533694734232959,-0.008831887148919138,44.59,1.94
