Date,Symbol,Type,Total Value (USD),Token Price (USD),From Entity,To Entity,Token Liquidity (Top 20 LPs),Token Qty,From(Address),To(Address),Token Contract Address,Txn Hash,From Context
2023-05-01 00:01:47.000 UTC,WETH,Buy,248554.49695364706,1846.75,,Jump,476286796.9523346,134.59022442325548,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1c705d0f7ace107e63e8b06fe1d07e1de90de7daecdf0c6e844bba9c42a74ec7,
2023-05-01 00:04:47.000 UTC,DAI,Sell,23883.490615251325,1.0,Jump,,698573224.0174431,23883.490615251325,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,0x322b696170c388aa1c30aef136857eb9e478932fa733a7898162ddc05d282ea1,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:04:47.000 UTC,WETH,Buy,23456.389131763783,1846.75,,Jump,476286796.9523346,12.70144260553068,0x60594a405d53811d3bc4766596efd80fd545a270,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x322b696170c388aa1c30aef136857eb9e478932fa733a7898162ddc05d282ea1,
2023-05-01 00:07:35.000 UTC,ETH,Buy,301903.32891499996,1846.75,,Jump,476286796.9523346,163.47817999999998,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0xe66337270de552299d9ad727d6d45be4af90afd03ff9c37783bb9dc43a70ec03,
2023-05-01 00:07:35.000 UTC,WETH,Tracked Wallet Buy & Sell,1342716.5225000002,1846.75,Jump,Jump,476286796.9523346,727.07,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf964ea55fc94ccdf55ad284cb606356f67357e58bbd2224d0acbd49c8672f7df,None
2023-05-01 00:07:47.000 UTC,ETH,Buy,237064.52737500003,1846.75,,Jump,476286796.9523346,128.3685,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x30ef8d430893eb54c5d691a94dc8bd90f70f187765bc4339611b06df29e64eb7,
2023-05-01 00:08:11.000 UTC,ETH,Buy,348444.79000000004,1846.75,,Jump,476286796.9523346,188.68,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x479c265a13a1e506edf69eba2e3701b2912623764c57f8ede6b2dc6a4e02bce3,
2023-05-01 00:08:35.000 UTC,WETH,Sell,79555.57251230507,1846.75,Jump,,476286796.9523346,43.07869095021257,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x54a992ea79d32c95a90ce00962ede52f6ae64259fc3baaf01113ea57c5040545,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:08:35.000 UTC,USDC,Buy,80985.88127418733,0.999914,,Jump,1140350724.3129728,80992.846659,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x54a992ea79d32c95a90ce00962ede52f6ae64259fc3baaf01113ea57c5040545,
2023-05-01 00:18:11.000 UTC,ETH,Buy,11650.370115,1846.75,,Jump,476286796.9523346,6.30858,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x507b11dfebdf35e3686f9af1ccbc72b9c0628467dea0b5302b5adfc0c75d49ca,
2023-05-01 00:18:11.000 UTC,ETH,Buy,1363212.086415,1846.75,,Jump,476286796.9523346,738.16818,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x7ea996e75c5609a19f3a00291ced675a3267952228e5b1aed1ee10214c140042,
2023-05-01 00:18:23.000 UTC,USDC,Tracked Wallet Buy & Sell,713661.15986156,0.999914,Jump,Jump,1140350724.3129728,713722.54,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xaac059febf3368e409db5626a7aaf69acb9602284883576e26a28c594e127645,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:18:23.000 UTC,ETH,Buy,123132.05625,1846.75,,Jump,476286796.9523346,66.675,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x17fb49f5415c7f0c8796ecc2c6a4e38f83e845bcd3314415cd19d892b051867c,
2023-05-01 00:18:23.000 UTC,WETH,Tracked Wallet Buy & Sell,1404157.895,1846.75,Jump,Jump,476286796.9523346,760.34,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xda904eea17c22783dfd2480208b10d3dd7dd90101b1a87ee9ccf54997d824b50,None
2023-05-01 00:18:23.000 UTC,ETH,Buy,247646.404875,1846.75,,Jump,476286796.9523346,134.0985,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x8b6f59df31e0e5563873cf4de95b46a958696685c0c086fd024265c16bd19e12,
2023-05-01 00:18:47.000 UTC,USDT,Tracked Wallet Buy & Sell,266541.23496,1.001,Jump,Jump,939835820.9434662,266274.96,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,0x5d93bdf5f4ad868eaa40fb2a59695a4cdb4e536ce7fb2fc3bfdad09c4f7bfc5e,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:19:11.000 UTC,USDT,Tracked Wallet Buy & Sell,658988.51018,1.001,Jump,Jump,939835820.9434662,658330.18,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xf05e2a70346560d3228c7002194bb7c5dc8fe100,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0e66ffe08138d06ea0f97ef3048864ee05db3992f7e7292f5bbfd6fb57e6fdad,None
2023-05-01 00:19:47.000 UTC,USDT,Tracked Wallet Buy & Sell,845440.4558599999,1.001,Jump,Jump,939835820.9434662,844595.86,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xf05e2a70346560d3228c7002194bb7c5dc8fe100,0xdac17f958d2ee523a2206206994597c13d831ec7,0x81c5ec4522499d62913bad9cf6cb114fc9d72a61ca9fed9b0481e81e617f83eb,None
2023-05-01 00:26:47.000 UTC,WETH,Sell,19676.734410934085,1846.75,Jump,,476286796.9523346,10.654790529814044,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x87202efded29bbff018be1eca62a77ef2417187cba0876430ba0e656001adcc3,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:26:47.000 UTC,LINK,Buy,18736.102810205564,6.6,,Jump,25388039.778178975,2838.803456091752,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x514910771af9ca656af840dff83e8264ecf986ca,0x87202efded29bbff018be1eca62a77ef2417187cba0876430ba0e656001adcc3,
2023-05-01 00:28:35.000 UTC,USDC,Sell,375598.3354169899,0.999914,Jump,,1140350724.3129728,375630.639652,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x63777c60e4b34c9608245effa50671b831c317463ad88087d3899df01661869c,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:28:35.000 UTC,WETH,Buy,368318.64529775886,1846.75,,Jump,476286796.9523346,199.44152987559707,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x63777c60e4b34c9608245effa50671b831c317463ad88087d3899df01661869c,
