id,category,name,address,symbol,tvl,mcap,slug,TVL (7dma),TVL (1mma),Volume (7dma),Volume (1mma),Holders (7d delta),Holders (1m delta),Status,DAU_7DMA_PER,DAU_30DMA_PER,TX_7DMA_PER,TX_30DMA_PER,AVG_RETURNING_USERS_7D,AVG_RETURNING_USERS_30D,AVG_NEW_USERS_7D,AVG_NEW_USERS_30D
2269,CEX,Binance CEX,,-,59335676933.46773,,binance-cex,0.050059870780764015,-0.08318790290871492,,,,,1,-10.718138388000,-4.360018494500,-10.895577460300,-4.335105741700,252.100000,336.825000,134.066667,166.166667
182,Liquid Staking,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,13992407269.639038,1607215232.3686733,lido,0.06367519053468995,0.0945041758603935,,,0.004672770246407129,0.04815486650416643,1,-10.656395442100,-2.356435147000,-10.240442253900,-2.524171005800,218.906250,256.959677,129.031250,146.048387
2272,CEX,OKX,,-,10255260687.694006,,okx,0.009986321292921208,0.019591598744301164,,,,,1,6.666640000000,0.077688881600,6.666640000000,0.158941266500,0.500000,2.058824,1.000000,3.588235
2275,CEX,Bitfinex,,-,9779495747.54034,,bitfinex,0.07498706802430943,-0.023829604003700156,,,,,No Data,,,,,,,,
118,CDP,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,6267611829.999319,613204959.7470628,makerdao,0.07373749603532098,-0.13510763462534314,,,-0.030413676656817223,-0.031711404091182144,1,-7.500785731100,-3.857216009600,-8.647495470200,-4.241630884400,1441.150000,1485.741935,913.325000,707.535484
2,Bridge,WBTC,,-,4792819624.2925205,,wbtc,0.12307811582503803,-0.011666080597824036,,,,,1,-9.552910916100,-3.886385291000,-10.362809355100,-4.107259233800,101.791667,108.107527,132.541667,141.860215
3,Dexes,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,3801062814.7202396,,curve-dex,-0.0027822965292384483,-0.06885576088046075,-0.5067,0.6335999999999999,0.0031012875427380306,0.006337345710496787,1,-11.628742515000,-2.976711532700,-12.786573780900,-2.726980531700,132.736842,144.901316,60.605263,73.473684
494,Lending,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3772633707.984937,198802353.92975512,justlend,0.06565637327484475,-0.025451340596898242,,,,,No Data,,,,,,,,
111,Lending,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,3709503203.423005,822779421.1996157,aave-v2,0.05820948110964541,-0.03703435439151548,,,-0.06538070562566632,-0.06549655411770539,1,-5.435350078300,-1.619641153600,-8.430372574000,-2.055195671600,390.525000,403.432258,424.575000,251.406452
694,Bridge,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3605910280.0,,justcryptos,0.11785310497601764,-0.02347035608789061,,,,,No Data,,,,,,,,
2286,CEX,Bybit,,-,3183552554.3982463,,bybit,0.0390800493750616,0.018849352305209788,,,,,1,0.252397879900,2.476175337200,0E-12,2.465004260500,210.285714,412.066667,73.428571,1042.500000
2270,CEX,Crypto-com,,-,3150336203.3459034,,crypto-com,0.032054967492531894,-0.08246850454319365,,,,,1,0.854586531000,-1.506024096400,0.620540274100,-1.668039538700,76.375000,71.187500,79.375000,112.500000
2276,CEX,Huobi,,-,3134909146.7452145,,huobi,0.06287137543156907,-0.0009843813364975862,,,,,1,0E-12,1.717210199500,0E-12,-0.395254545500,1.333333,1.294118,1.666667,5.000000
