Date,Symbol,Type,Total Value (USD),Token Price (USD),From Entity,To Entity,Token Liquidity (Top 20 LPs),Token Qty,From(Address),To(Address),Token Contract Address,Txn Hash,From Context,To Context
2023-06-22 05:49:59.000 UTC,USDT,Buy,170816.989245,1.0,,Jump,882395079.8503581,170816.989245,0x68841a1806ff291314946eebd0cda8b348e73d6d,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,0xeea99f56e4d5c4d56d5ccd9d37e86afa0ecd9739b427a2ac58fa295edbf02fd2,,None
2023-06-22 05:51:47.000 UTC,USDC,Tracked Wallet Buy & Sell,831124.0,1.0,Jump,Jump,984215749.5320207,831124.0,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8d0ad38d6f02318ddcb5bc2c5c12332948731d9ef58d63824c6b5823f71d8320,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,None
2023-06-22 05:51:47.000 UTC,SHIB,Sell,38045.59614436,7.94e-06,Jump,,12195512.632222982,4791636794.0,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xed89da9dd83a0d703991ee833969489278b260e7,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x72b77348c8e6063a08e5f510c281085c2199d701d77e2dc7015160fc0f4cff05,None,
2023-06-22 05:51:59.000 UTC,ETH,Buy,61298.33376532,1890.22,,Jump,397270923.21434337,32.429206,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x13b10728b855f00a8d4cf5aedd6aecdbd2c8f12dec9b6952235262981645ba9c,,None
2023-06-22 05:52:11.000 UTC,USDC,Sell,193747.0,1.0,Jump,,984215749.5320207,193747.0,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x6643887784cb89cc9537dbb7ea20b00c45abeefb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc622ef7f8a849c9837f01d82d78f9e2e6f853c7006c1b542d460d503bf2ed5dd,None,
2023-06-22 05:53:23.000 UTC,ETH,Buy,460550.6021653201,1890.22,,Jump,397270923.21434337,243.64920600000002,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x110443a09b145c1cf07b9508c05a47ebf6742733b233b22fd092c76fa39ccbe1,,None
2023-06-22 05:53:23.000 UTC,WETH,Tracked Wallet Buy & Sell,1710649.1,1890.22,Jump,Jump,397270923.21434337,905.0,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x89e5b8bf00e8734986639f783057c5c0da4df6c0bb7929feeb0d732aca675719,None,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:53:47.000 UTC,ETH,Buy,219186.319782,1890.22,,Jump,397270923.21434337,115.9581,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0xf83fca8d4a7df7ed6cdf8bd8e7f05d8d3d9a09ee7e8bc1ecad278a1bdd5cc95d,,None
2023-06-22 05:54:11.000 UTC,WETH,Sell,46924.28763499129,1890.22,Jump,,397270923.21434337,24.82477575890176,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd21f5a9a45fa45a629cf92a00721c144ae3f255e26b1614f3a30e570bd0e2841,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:11.000 UTC,ETH,Buy,28542.322,1890.22,,Jump,397270923.21434337,15.1,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x53ffc125715370caca4e951575af4ff330aab06b59b361c0ec71fe8d0302a8d9,,None
2023-06-22 05:54:11.000 UTC,USDT,Buy,47422.46704,1.0,,Jump,882395079.8503581,47422.46704,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd21f5a9a45fa45a629cf92a00721c144ae3f255e26b1614f3a30e570bd0e2841,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:11.000 UTC,WETH,Sell,68775.12439395757,1890.22,Jump,,397270923.21434337,36.38471944744927,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x80e3498a969e52d6d3743be2997741c853dd48346efd06f5d008ae46337da5b7,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:11.000 UTC,USDC,Buy,69510.247807,1.0,,Jump,984215749.5320207,69510.247807,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x80e3498a969e52d6d3743be2997741c853dd48346efd06f5d008ae46337da5b7,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:11.000 UTC,WETH,Sell,120114.57176012894,1890.22,Jump,,397270923.21434337,63.54528666511249,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb53fdfa35e4e974aabfe86da51f321c1edb67d4eba54833fb38867152c2288ca,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:11.000 UTC,USDT,Buy,121387.07833,1.0,,Jump,882395079.8503581,121387.07833,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb53fdfa35e4e974aabfe86da51f321c1edb67d4eba54833fb38867152c2288ca,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:11.000 UTC,WETH,Sell,221303.14983806838,1890.22,Jump,,397270923.21434337,117.07798554563404,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe9849dbc66ec3abdcffc01148745e04ee903c01958e34f07dc55b66898ef0605,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:11.000 UTC,USDC,Buy,223685.263902,1.0,,Jump,984215749.5320207,223685.263902,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe9849dbc66ec3abdcffc01148745e04ee903c01958e34f07dc55b66898ef0605,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,USDC,Buy,9548.99865,1.0,,Jump,984215749.5320207,9548.99865,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x13482a716057d52aa31234b1e4872fdd63611cfa08d0d203b213afa14bb9bcf4,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,WETH,Sell,9451.1,1890.22,Jump,,397270923.21434337,5.0,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x13482a716057d52aa31234b1e4872fdd63611cfa08d0d203b213afa14bb9bcf4,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:23.000 UTC,WETH,Sell,14630.182020751367,1890.22,Jump,,397270923.21434337,7.739936103073381,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1a76337c8fb5ab5f9652107f84009daf8d8c711d6e3c59937d0a5a951a7ccd83,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:23.000 UTC,DAI,Buy,14785.962321535626,1.0,,Jump,595871314.0216216,14785.962321535626,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x6b175474e89094c44da98b954eedeac495271d0f,0x1a76337c8fb5ab5f9652107f84009daf8d8c711d6e3c59937d0a5a951a7ccd83,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,WBTC,Sell,15295.5,30591.0,Jump,,612829130.4364129,0.5,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x75f6231b900db54f902f56f2dbda28804dcf0dfff5b9bb6ad352b46dab99c4ad,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:23.000 UTC,USDC,Buy,15136.204108,1.0,,Jump,984215749.5320207,15136.204108,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x75f6231b900db54f902f56f2dbda28804dcf0dfff5b9bb6ad352b46dab99c4ad,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,WETH,Sell,47988.985323290464,1890.22,Jump,,397270923.21434337,25.38804230369505,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe61f0720a34864ebe7cb5179c0d12469fb5b4f3f280c7512f03a9927e8a1fdf0,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:23.000 UTC,USDT,Buy,48461.305649,1.0,,Jump,882395079.8503581,48461.305649,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe61f0720a34864ebe7cb5179c0d12469fb5b4f3f280c7512f03a9927e8a1fdf0,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,WETH,Sell,101177.84404442029,1890.22,Jump,,397270923.21434337,53.527020158722415,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x13d829235d6714d45451841c4168817b3c1646f758c9e2e8ae8ed97c7deed766,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:23.000 UTC,USDC,Buy,102168.558429,1.0,,Jump,984215749.5320207,102168.558429,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x13d829235d6714d45451841c4168817b3c1646f758c9e2e8ae8ed97c7deed766,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,WETH,Sell,137444.63945223278,1890.22,Jump,,397270923.21434337,72.7135674430663,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcda3757ad46d82e6a3f9f9853a2ea7c7bedb5668659b6f7534482ff636b7f3b8,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
2023-06-22 05:54:23.000 UTC,USDT,Buy,138798.15226,1.0,,Jump,882395079.8503581,138798.15226,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcda3757ad46d82e6a3f9f9853a2ea7c7bedb5668659b6f7534482ff636b7f3b8,,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-06-22 05:54:23.000 UTC,WETH,Sell,528821.2484982142,1890.22,Jump,,397270923.21434337,279.76703690481224,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x168d2387a99db07bf02a7adf476a45a022a1e2f083b7f562be4a5dd6c0dd1539,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,
