id,category,name,address,symbol,tvl,mcap,slug,7dma_%,1mma_%,Volume_7d_%,Volume_1m_%,HolderCounts_7day%,HolderCounts_30day%
132,Bridge,hBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,hBTC,259622090.8022572,259106325.44763872,hbtc,-0.001303562082143217,0.0011044753109510363,,,0.0,-1.9666048237476808
2907,Dexes,Chronos,arbitrum:0x15b2fb8f08E4Ac1Ce019EADAe02eE92AeDF06851,CHR,254810880.58335018,0.0,chronos,0.46184812591815283,0.3506456978220731,243.05,,NA,NA
1765,Launchpad,UniCrypt,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,UNCX,248798957.09144425,11621649.522021484,unicrypt,0.00893121977042255,0.0024810197791669264,,,0.06049606775559589,0.42501517911353975
502,Yield,Coinwind,heco:0x80861a817106665bca173db6ac2ab628a738c737,COW,216370118.27578634,0.0,coinwind,-0.00013131902054386302,0.00041447225788315833,,,NA,NA
657,Bridge,Synapse,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,213787998.97272187,139253501.75299552,synapse,-0.0035987727222860366,0.0028743505086061827,,,-0.22706023774542541,-0.9940357852882704
295,Chain,Stacks Staking,-,STX,208361161.81713977,981038938.6096698,stacks-staking,-0.04455110617557945,-0.018292360521159123,,,NA,NA
345,Leveraged Farming,Alpaca Leveraged Yield Farming,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,202652902.8921287,35390333.929605454,alpaca-leveraged-yield-farming,0.01785180342891035,-0.0001877842756382586,,,NA,NA
1807,Launchpad,PinkSale,bsc:0x602ba546a7b06e0fc7f58fd27eb6996ecc824689,PINKSALE,202086543.50126013,18929202.39792796,pinksale,0.0045591452241695585,0.00340434557139746,,,NA,NA
373,Dexes,BiSwap,bsc:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,196501087.43011793,57271542.46215674,biswap,-0.0007516088876584615,-0.002630013585000701,63.93,-14.86,NA,NA
641,Liquidity manager,Arrakis V1,,-,195809838.36908194,,arrakis-v1,0.005377687232539952,-0.0005853269588879106,,,NA,NA
831,Dexes,VVS Finance,cronos:0x2D03bECE6747ADC00E1a131BBA1469C15fD11e03,VVS,180462682.1363931,118484795.07427174,vvs-finance,-0.009622796921862964,-0.0014353779713806025,-60.15,-15.87,NA,NA
278,Liquid Staking,Ankr,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ANKR,176026639.0005051,237006564.90941855,ankr,-0.004456962272911591,-0.002486870860318735,,,0.26797047623524983,1.3447374673319077
277,Liquid Staking,StakeWise,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,SWISE,175151622.0512651,32067299.450288165,stakewise,0.0004889230406801559,0.000999675567975311,,,-0.7016371533578349,-0.13440860215053765
1166,Dexes,DefiChain DEX,-,DFI,172500814.1330611,315683436.9992352,defichain-dex,-0.00867709569509989,-0.00798946020156499,-30.73,-50.96,NA,NA
704,Dexes,Chainge Finance,fusion:0xed0294dbd2a0e52a09c3f38a09f6e03de2c44fcf,CHNG,171489034.3985207,48945905.73068556,chainge-finance,-0.0010868080312722572,-0.0007043849512119449,231.32,-59.92,NA,NA
1217,Liquid Staking,Parallel Liquid Crowdloan,,-,164175156.9489924,,parallel-liquid-crowdloan,-0.009699825267235562,-0.003805498199421886,,,NA,NA
1773,NFT Lending,BendDAO Lending,0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,163570493.86356965,,benddao-lending,-0.004862543865569058,-0.005802272493334759,,,-0.30516879649055884,0.0861656294877932
383,Dexes,Osmosis DEX,-,OSMO,160182511.5014592,407141445.03740627,osmosis-dex,-0.010677603289199422,-0.0008498354434713917,-2.23,-7.96,NA,NA
