id,Category,Name,Address,Symbol,TVL,Market Cap,Slug,TVL (7dma),TVL (1mma),Volume (7dma),Volume (1mma),Holder Counts (7day),Holder Counts (1mma)
427,Yield Aggregator,Origin Dollar,0x9c354503c38481a7a7a51629142963f98ecc12d0,OGV,38805777.51620514,3416399.678087464,origin-dollar,1.2628880571896596e-06,3.388569975382394e-05,,,0.0050041701417848205,0.047370708387657535
1882,Dexes,Ferro,cronos:0x39bC1e38c842C60775Ce37566D03B41A7A66C782,FER,38564911.95198828,21777709.536072686,ferro,-1.9089767450595207e-05,7.692132751495606e-06,-0.3542,2.467,,
2235,Liquid Staking,Algo Liquid Governance,,-,38483490.35300106,,algo-liquid-governance,-0.00010060510053600203,0.0002667655286774728,,,,
1023,Yield,Overnight USD+,polygon:0x236eeC6359fb44CCe8f97E99387aa7F8cd5cdE1f,USD+,38337257.69241639,52075368.61236844,overnight-usd+,0.0003859268026278806,0.00016803127680671936,,,,
283,Dexes,Orca,solana:orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,38293086.79547006,17666370.92491819,orca,-3.345824834224631e-05,4.415651325777592e-06,0.9193000000000001,4.2297,,
2626,Liquid Staking,ether.fi,,-,38014334.91050041,,ether.fi,-0.00012127108718277712,0.00010018496357029116,,,,
2537,Lending,Flux Finance,,-,37265155.62801239,,flux-finance,0.0002637091338700759,8.422995510002806e-05,,,,
475,Yield Aggregator,Yield Yak Aggregator,avax:0x59414b3089ce2af0010e7523dea7e2b35d776ec7,YAK,37013213.47651077,4333113.423313503,yield-yak-aggregator,-8.664282881659657e-05,-2.6763009507828618e-05,,,,
1986,Lending,Canto Lending,,-,35906927.450433195,,canto-lending,-2.3152903899777978e-05,2.3733373312073704e-06,,,,
2817,Indexes,Agility LSD,0x5f18ea482ad5cc6bc65803817c99f477043dce85,AGI,35719685.28355457,0.0,agility-lsd,-0.0006908683559963635,-0.00028563643338233027,,,0.02478448275862069,2.979079497907949
2020,Lending,Silo Finance,0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8,SILO,35660539.3041307,21589943.596301116,silo-finance,1.1798903763593494e-06,3.641213506820895e-05,,,-0.007057379564283523,-0.01009483022330988
547,Cross Chain,pNetwork,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,PNT,34919182.930151515,11317294.891001888,pnetwork,3.1109258692831875e-05,-6.13483785755875e-06,,,-0.00021117094287825995,-0.000633245382585752
2539,Indexes,unshETH,0xe60779cc1b2c1d0580611c526a8df0e3f870ec48,USH,34841088.85346047,10669005.970770417,unsheth,5.6833346670670526e-05,0.00011060185352629537,,,-0.018065887353878853,0.11191335740072202
438,Yield,Tokemak,0x2e9d63788249371f1dfc918a52f8d799f4a38c94,TOKE,34779127.15305968,10633329.274670534,tokemak,-6.450271143414344e-05,-5.27796901632982e-05,,,0.0015105740181268882,0.0057306590257879654
1619,NFT Lending,JPEG'd,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,JPEG,34347206.35075809,12783977.22434106,jpegd,-8.307515962883704e-05,6.351078188062243e-05,,,-0.009872241579558653,-0.029963967380997533
2728,Dexes,SyncSwap,,-,34216974.689985245,,syncswap,-0.00029985029171813673,-4.5823414093474345e-05,,,,
1853,Lending,Moonwell Artemis,moonbeam:0x511aB53F793683763E5a8829738301368a2411E3,WELL,34147136.08488682,2630956.700017794,moonwell-artemis,7.58566587516496e-06,1.9487161015252497e-06,,,,
1272,Bridge,ioTube,,-,33904329.379204266,0.0,iotube,-6.228403660790693e-05,-4.180058247101326e-05,,,,
2864,Dexes,THENA FUSION,bsc:0xf4c8e32eadec4bfe97e0f595add0f4450a863a11,THE,33800699.33390524,,thena-fusion,0.00046803757499897625,0.00022168739813728687,-0.002,,,
234,Lending,Notional,0xcfeaead4947f0705a14ec42ac3d44129e1ef3ed5,NOTE,33426478.014914308,6502265.566062903,notional,-6.821190583193859e-06,5.5657079730140336e-05,,,-0.001905972045743329,-0.001905972045743329
2142,Lending,Sonne Finance,optimism:0x1db2466d9f5e10d7090e7152b68d62703a2245f0,SONNE,33306380.161358323,3487862.901343258,sonne-finance,-0.00013135573717802827,-5.895739734736005e-05,,,,
944,Dexes,Platypus Finance,avax:0x22d4002028f537599be9f666d1c4fa138522f9c8,PTP,33231604.235316385,3118149.0714457002,platypus-finance,-6.527499785804358e-05,-2.2737852779829428e-05,1.6007,4.1514,,
190,Indexes,dHEDGE,0xca1207647ff814039530d7d35df0e1dd2e91fa84,DHT,32970000.925483987,5976918.561638944,dhedge,-2.642790276759843e-05,5.4823114813815634e-05,,,0.0011179429849077697,0.00027925160569673273
207,Insurance,Unslashed,0xe0e05c43c097b0982db6c9d626c4eb9e95c3b9ce,USF,32951275.955126557,859198.9757671744,unslashed,-1.476422383715148e-05,-1.7217809944936047e-06,,,0.0,0.0006743088334457181
2707,Services,SPL Governance,,-,32333534.48947523,,spl-governance,9.637759318792406e-07,5.79307372683413e-07,,,,
2251,Liquid Staking,Stride,,STRD,32053405.544943802,117049204.61269848,stride,6.0881780168373645e-05,9.91388129236448e-05,,,,
246,Dexes,Pangolin,avax:0x60781C2586D68229fde47564546784ab3fACA982,PNG,31694720.915778443,5396757.318686871,pangolin,-0.00010751573160953764,-8.108361642554796e-06,1.3208000000000002,2.6620999999999997,,
1848,CDP,Acala Dollar,acala:-,aUSD,31520216.456828915,,acala-dollar,-0.0002490837659096079,-0.00012068013177593873,,,,
265,CDP,Reflexer,0x6243d8cea23066d098a15582d81a598b4e8391f4,FLX,31429574.44488177,10933665.937845822,reflexer,-4.82760934662374e-06,-1.3531759360754237e-05,,,0.0002845759817871372,-0.0036848072562358277
2395,Derivatives,Level Finance,bsc:0xB64E280e9D1B5DbEc4AcceDb2257A87b400DB149,LVL,31350962.739257034,,level-finance,-6.849864570383835e-05,2.701351500601801e-05,0.2743,17.320899999999998,,
149,Lending,B.Protocol,0xbbBBBBB5AA847A2003fbC6b5C16DF0Bd1E725f61,BPRO,31235024.166125614,4453968.85506902,b.protocol,-1.7388571593028866e-05,2.1082995073464785e-05,,,-0.0007363770250368188,-0.0036710719530102785
276,Liquid Staking,Stafi,0xef3A930e1FfFFAcd2fc13434aC81bD278B0ecC8d,FIS,31110481.609247945,18573292.294060618,stafi,-3.0197405428346036e-05,-2.6760414982464063e-05,,,0.002144082332761578,0.0012853470437017994
1433,Options Vault,Jones DAO,arbitrum:0x10393c20975cf177a3513071bc110f7962cd67da,JONES,30936679.89928124,7912635.3682981925,jones-dao,-3.205998446586866e-05,2.682339434308956e-05,,,,
1525,Yield,Vector Finance,avax:0x5817d4f0b62a59b17f75207da1848c2ce75e7af4,VTX,30883390.926327296,1268440.4623472055,vector-finance,-0.00010965946646155134,-6.439898196528127e-05,,,,
281,Options Vault,Ribbon,0x6123b0049f904d730db3c36a31167d9d4121fa6b,RBN,30841170.4926596,,ribbon,9.642961548939067e-06,-3.0869913117531625e-05,,,-0.00022276676319893073,0.00335345405767941
150,Yield Aggregator,Idle,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,IDLE,30788502.002376474,1302786.5083127872,idle,0.0005457426644036345,0.0001801957291334122,,,0.0018587360594795538,-0.0015877216194760519
636,Derivatives,Keep3r Network,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,KP3R,30484573.801463947,30888835.07725955,keep3r-network,2.2898018861017276e-08,-1.6951581677421278e-05,,,0.0005163955589981926,0.005057709765270393
398,Dexes,ApeSwap AMM,bsc:0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,BANANA,30359051.435269266,,apeswap-amm,-7.830244864629909e-05,-6.02234502621779e-05,1.2779,2.1197999999999997,,
275,Liquid Staking,SharedStake,0x84810bcf08744d5862b8181f12d17bfd57d3b078,SGT,29580792.112078995,969269.8536106781,sharedstake,1.2171273987162667e-05,-1.5289488165681763e-06,,,0.0,0.0008517887563884157
1928,Services,CIAN,,-,29157620.922429994,,cian,-0.00013600960507504923,-6.895408974658235e-05,,,,
1181,Dexes,MojitoSwap,kcc:0x2ca48b4eea5a731c2b54e7c3944dbdb87c0cfb6f,MJT,28972954.120650277,0.0,mojitoswap,-2.583743181151177e-05,-1.6163632639207837e-05,1.2819999999999998,1.521,,
954,Lending,REX Staking,,-,28366800.65963826,,rex-staking,-0.00012441277656022987,4.452321178417984e-05,,,,
1523,Liquid Staking,KLAYstation,,-,28351378.91,,klaystation,-7.372154755244998e-05,-3.542141464433657e-05,,,,
503,Options,Lyra,optimism:0x50c5725949a6f0c72e6c4a641f24049a917db0cb,LYRA,28287196.063716844,32333096.825221248,lyra,-7.0813414953962985e-06,-4.8059000189273336e-05,0.6524,-0.0861,,
214,Dexes,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,28269079.295648396,41418189.84228322,raydium,3.711675237008105e-06,-9.122034480595897e-05,2.3553,5.899,,
507,Dexes,DefiBox,bsc:0x708c0e1d2417603d9acb0ae04fefbb93a7a322ff,BOX,27986244.948010724,2672509.3509570677,defibox,-0.00012301035709603281,-7.017506991488842e-05,2.9294,1.4619,,
217,Cross Chain,Connext,-,-,27577609.37846447,,connext,0.0001019829875422662,0.0003861429922829185,,,,
520,Synthetics,Youves,tezos:KT1Xobej4mc6XgEjDoJoHtTKgbD1ELMvcQuL,YOU,27330065.417651307,2628436.776323664,youves,-4.945969892104052e-05,-3.8035978230215315e-05,,,,
2906,Dexes,Joe V2.1,avax:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,27097613.105120145,,joe-v2.1,-0.0003047992730897742,0.0004522847154398257,0.2005,,,
